 101  57.0  -77.0 10 RICHMOND GULF QUE.    
 5950.0003  200.0000   21.0000    3.1000
 8092.0004  200.0000   41.0000    6.1000
 8925.0004  300.0000   67.0000   10.0000
 169  82.0  -31.0  5 J. BRONLUND FJORD GRL.
 3927.0002  200.0000   13.0000    1.9000
 4879.0002  200.0000   14.0000    2.1000
 5355.0003  200.0000   21.0000    3.1000
 7021.0003  600.0000   65.0000    9.7000
10234.0005  300.0000   80.0000   11.9000
 201  69.0   35.0  1 KOLA BAY USSR.        
11305.0005  300.0000   57.0000    8.5000
 202  70.0   29.0  8 VARANGER FJORD NOR.   
 1190.0001  200.0000    5.0000    1.0000
 2380.0001  200.0000   10.0000    1.4000
 3570.0002  200.0000   15.0000    2.2000
 4760.0002  200.0000   21.0000    3.1000
 5950.0003  200.0000   28.0000    4.2000
 7140.0003  200.0000   34.0000    5.0000
 8330.0004  200.0000   37.0000    5.5000
 9520.0005  300.0000   37.0000    5.5000
 203  71.0   24.0  5 INGOY NOR.            
 3570.0002  200.0000    9.0000    1.3000
 4760.0002  200.0000   13.0000    1.9000
 5950.0003  200.0000   19.0000    2.8000
 7140.0003  200.0000   24.0000    3.6000
 8330.0004  200.0000   30.0000    4.5000
 204  70.0   21.0  5 SKJAEAFASSEN NOR.     
 3570.0002  200.0000    5.0000    1.0000
 4760.0002  200.0000    6.0000    1.0000
 5950.0003  200.0000    8.0000    1.1000
 7140.0003  200.0000    5.0000    1.0000
 8330.0004  200.0000    4.0000    1.0000
 205  69.5   18.0  6 KVALVIKA NOR.         
 3570.0002  200.0000    6.0000    1.0000
 4760.0002  200.0000    8.0000    1.1000
 5950.0003  200.0000   13.0000    1.9000
 7140.0003  200.0000   14.0000    2.1000
 8330.0004  200.0000   14.0000    2.1000
13328.0006  400.0000   60.0000    8.9000
 206  69.1   16.0  8 AND FJORD NOR.        
 2618.0001  200.0000    2.7000    1.0000
 3213.0002  200.0000    3.7000    1.0000
 3689.0002  200.0000    4.7000    1.0000
 4046.0002  200.0000    3.3000    1.0000
 7259.0003  200.0000    4.1000    1.0000
13566.0007  400.0000   73.0000   10.9000
13923.0007  400.0000   73.0000   10.9000
15232.0007  500.0000   78.0000   11.6000
 207  63.8   11.0  8 VERDALSOYA NOR.       
 2142.0001  200.0000   10.0000    1.4000
 4641.0002  200.0000   25.0000    3.7000
 7140.0003  200.0000   50.0000    7.4000
 8806.0004  200.0000   64.0000    9.5000
 9639.0005  300.0000   68.0000   10.1000
10472.0005  300.0000   86.0000   12.8000
10710.0005  300.0000  113.0000   16.9000
11781.0006  300.0000  172.0000   25.8000
 208  63.6   10.6  9 FROSTA NOR.           
 4760.0002  200.0000   26.0000    3.9000
 7140.0003  200.0000   43.0000    6.4000
 9877.0005  300.0000   72.0000   10.7000
10353.0005  300.0000   91.0000   13.6000
11424.0005  300.0000  109.0000   16.3000
11543.0006  300.0000  119.0000   17.8000
11662.0006  300.0000  142.0000   21.2000
12257.0006  400.0000  156.0000   23.3000
12614.0006  400.0000  170.0000   25.4000
 209  63.7    9.6 12 BJUGN NOR.            
 2975.0001  200.0000    9.0000    1.3000
 4760.0002  200.0000   17.0000    2.5000
 5712.0003  200.0000   22.0000    3.3000
 6188.0003  200.0000   27.0000    4.0000
 7259.0003  200.0000   32.0000    4.8000
10472.0005  300.0000   43.0000    6.4000
10948.0005  300.0000   52.0000    7.7000
11186.0005  300.0000   63.0000    9.4000
11543.0006  300.0000   92.0000   13.7000
11781.0006  300.0000   10.4000    1.5000
12376.0006  400.0000  116.0000   17.3000
13566.0007  400.0000  118.0000   17.6000
 210  63.6    8.5  5 FROYA NOR.            
 5831.0003  200.0000   15.0000    2.2000
 6307.0003  200.0000   14.0000    2.1000
10948.0005  300.0000   28.0000    4.2000
11543.0006  300.0000   39.0000    5.8000
12257.0006  400.0000   44.0000    6.5000
 211  63.4    8.8  6 HITRA NOR.            
 6188.0003  200.0000   18.0000    2.7000
11543.0006  300.0000   61.0000    9.1000
11662.0006  300.0000   41.0000    6.1000
11781.0006  300.0000   76.0000   11.3000
