 101  57.0  -77.0 10 RICHMOND GULF QUE.    
 6860.0804  200.0000   33.0000    4.9000
 158  82.6  -75.7  2 M'CLINTOCK INLET ELL. 
 8615.7850  300.0000   36.0000   10.0000
10011.8649  300.0000   84.0000   12.5000
 159  82.0  -85.0  6 PHILLIPS INLET ELL.   
 4883.3445  200.0000    9.0000    1.3000
 7902.5573  200.0000   58.0000   15.0000
 8264.3893  300.0000   55.0000   15.0000
 8615.7850  300.0000   54.0000   15.0000
 8857.1391  300.0000   54.0000   15.0000
 9193.3596  300.0000   67.0000   20.0000
 160  81.6  -60.2  6 HALL LAND GRL.        
 5421.6176  200.0000   10.0000    1.4000
 8173.9313  200.0000  102.0000   15.2000
 9081.2861  300.0000   56.0000    8.3000
 9595.2420  300.0000   82.0000   12.2000
10150.7392  300.0000  105.0000   15.7000
10983.9850  300.0000  110.0000   16.4000
 161  76.8  -73.0  2 CAREY IS. GRL.        
 3669.3782  200.0000    1.5000    1.0000
 8737.7477  300.0000   20.0000    3.0000
 162  68.5  -51.5  4 DISKO BAY GRL.        
 7902.5573  200.0000   40.0000   10.0000
 8493.8224  300.0000   52.0000   14.0000
 8737.7477  300.0000   40.0000   17.0000
10011.8649  300.0000   70.0000   26.0000
 163  67.0  -50.2  9 SONDRE STOMFJORD GRL. 
 6461.4790  200.0000    5.0000    1.0000
 6660.7797  200.0000   11.0000    1.6000
 7579.3319  200.0000   20.0000    3.0000
 7993.0153  200.0000   42.0000    6.2000
 8493.8224  300.0000   59.0000    8.8000
 9193.3596  300.0000   95.0000   14.2000
 9317.4934  300.0000   92.0000   13.7000
 9595.2420  300.0000  105.0000   15.7000
 9734.1163  300.0000  115.0000   17.2000
 164  64.5  -50.5  2 KAPISIGDLIT GRL.      
 4883.3445  200.0000    8.0000    1.1000
 8371.8598  300.0000   40.0000   14.0000
 165  61.0  -46.7  1 JULIANEHAAB GRL.      
 8857.1391  300.0000    3.5000    1.0000
 166  72.0  -26.0  4 SKELDAL GRL.          
 6561.1294  600.0000    4.0000    1.0000
 7758.9538  600.0000   21.0000    6.0000
 8615.7850  600.0000   36.0000    5.3000
 9872.9906  600.0000   59.0000    8.8000
 167  72.0  -24.0  6 MESTERS VIG GRL.      
  644.1911  600.0000    3.0000    1.0000
 3153.6864  600.0000    4.0000    1.0000
 6461.4790  600.0000    4.0000    1.0000
 7758.9538  600.0000    8.5000    1.2000
 8264.3893  600.0000   20.0000    3.0000
 8857.1391  600.0000   29.0000    4.3000
 168  80.1  -20.7  4 K. FREDERICK VIII LAND
 3669.3782  200.0000    7.0000    1.0000
 5721.0440  200.0000   21.0000    3.1000
 7699.0798  200.0000   41.0000    6.1000
 8264.3893  300.0000   67.0000   10.0000
 169  82.0  -31.0  5 J. BRONLUND FJORD GRL.
 3539.7563  200.0000   13.0000    1.9000
 4544.6891  200.0000   14.0000    2.1000
 5222.0000  200.0000   21.0000    3.1000
 6760.4301  600.0000   65.0000    9.7000
 9595.2420  300.0000   80.0000   11.9000
 201  69.0   35.0  1 KOLA BAY USSR.        
10845.1107  300.0000   57.0000    8.5000
 202  70.0   29.0  8 VARANGER FJORD NOR.   
  969.9618  200.0000    5.0000    1.0000
 2020.9752  200.0000   10.0000    1.4000
 3153.6864  200.0000   15.0000    2.2000
 4387.7405  200.0000   21.0000    3.1000
 5721.0440  200.0000   28.0000    4.2000
 6860.0804  200.0000   34.0000    5.0000
 7818.8277  200.0000   37.0000    5.5000
 8857.1391  300.0000   37.0000    5.5000
 203  71.0   24.0  5 INGOY NOR.            
 3153.6864  200.0000    9.0000    1.3000
 4387.7405  200.0000   13.0000    1.9000
 5721.0440  200.0000   19.0000    2.8000
 6860.0804  200.0000   24.0000    3.6000
 7818.8277  200.0000   30.0000    4.5000
 204  70.0   21.0  5 SKJAEAFASSEN NOR.     
 3153.6864  200.0000    5.0000    1.0000
 4387.7405  200.0000    6.0000    1.0000
 5721.0440  200.0000    8.0000    1.1000
 6860.0804  200.0000    5.0000    1.0000
 7818.8277  200.0000    4.0000    1.0000
 205  69.5   18.0  6 KVALVIKA NOR.         
 3153.6864  200.0000    6.0000    1.0000
 4387.7405  200.0000    8.0000    1.1000
 5721.0440  200.0000   13.0000    1.9000
 6860.0804  200.0000   14.0000    2.1000
 7818.8277  200.0000   14.0000    2.1000
13118.3423  400.0000   60.0000    8.9000
 206  69.1   16.0  8 AND FJORD NOR.        
 2238.1508  200.0000    2.7000    1.0000
 2799.7667  200.0000    3.7000    1.0000
 3280.5126  200.0000    4.7000    1.0000
 3669.3782  200.0000    3.3000    1.0000
 6980.7591  200.0000    4.1000    1.0000
13298.7227  400.0000   73.0000   10.9000
13569.2933  400.0000   73.0000   10.9000
14883.6501  500.0000   78.0000   11.6000
 207  63.8   11.0  8 VERDALSOYA NOR.       
 1766.5693  200.0000   10.0000    1.4000
 4269.9924  200.0000   25.0000    3.7000
 6860.0804  200.0000   50.0000    7.4000
 8173.9313  200.0000   64.0000    9.5000
 8969.2126  300.0000   68.0000   10.1000
 9872.9906  300.0000   86.0000   12.8000
10150.7392  300.0000  113.0000   16.9000
11400.6079  300.0000  172.0000   25.8000
 208  63.6   10.6  9 FROSTA NOR.           
 4387.7405  200.0000   26.0000    3.9000
 6860.0804  200.0000   43.0000    6.4000
 9193.3596  300.0000   72.0000   10.7000
 9734.1163  300.0000   91.0000   13.6000
10983.9850  300.0000  109.0000   16.3000
11122.8593  300.0000  119.0000   17.8000
11261.7336  300.0000  142.0000   21.2000
11956.1051  400.0000  156.0000   23.3000
12372.7280  400.0000  170.0000   25.4000
